content,title,viewcount,author_id
"대형 평수 아파트 주변 학군이 궁금합니다. 신영지웰시티1차에서 배정받는 중학교가 어디인지, 교육 환경은 어떤가요?",복대동 신영지웰시티1차 주변 학군 질문입니다. (152.652㎡),1,6
"건물의 노후화를 억제하거나 기능을 향상시키는 대수선이라고 하는데, 건축법상 리모델링의 정의와 대수선의 범위 차이를 알고 싶습니다.",'리모델링'의 법적 정의와 '대수선'과의 차이점은?,4,5
"시세의 30~40%라는데, 주택의 위치나 품질, 면적 등이 실제 거주하기에 괜찮은 수준인지 이용자 후기가 궁금합니다.",'신혼·신생아 매입임대주택'의 주택 위치나 품질에 대한 만족도는?,34,5
오송역파라곤센트럴시티 주변에 초등학교가 새로 생길 예정인가요? 주변 교육 환경에 대한 정보를 구합니다.,오송읍 오송역파라곤센트럴시티 주변 학군 질문입니다. (59.9822㎡),4,3
"본등기의 순위보전을 위해 해두는 등기라고 하던데, 가등기가 있는 주택을 매매할 때 매수인이 주의해야 할 법적 위험은 무엇인가요?",'가등기'가 있는 부동산을 매매해도 안전한가요?,2,4
주거급여를 받는 것이 추후 청년 전세 대출 등 다른 주거 금융 상품 이용에 불이익을 주지 않는지 알고 싶습니다.,"'기초청년 주거급여'를 받을 경우, 다른 전세 대출 이용에 제약이 생기나요?",2,5
"비하동 서청주파크자이는 주차가 여유로운 편인가요, 아니면 저녁 시간에는 주차난이 심각한가요?",비하동 서청주파크자이 주차 공간 부족 문제가 심각한가요?,2,6
"다가구(단독주택 분류)와 다세대(공동주택)의 법적 분류 차이점을 쉽게 설명해주시고, 임차 계약 시 주의해야 할 사항을 알려주세요.",'다가구주택'과 '다세대주택'의 법적 차이점과 임차 시 주의사항,2,6
대출 지원 외에 연말정산 시 소득공제 등 추가적인 세제 혜택이 있는지 궁금합니다.,'청년 주택드림 디딤돌 대출' 신청 시 소득공제 혜택도 받을 수 있나요?,3,2
"가경자이 전세 59,500만원에 대한 전세자금 대출 한도와 금리 정보를 부탁드립니다.","가경동 가경자이 전세 대출 문의 (보증금 59,500만원)",4,3
"개별토지의 단위면적당 가격이라고 하는데, 토지나 건물의 감정평가액을 산정할 때 개별공시지가는 어떤 기준으로 활용되나요?",'토지 감정평가 시 개별공시지가'의 역할은?,2,4
"융자 지원의 이자율이 얼마나 되는지, 그리고 상환 기간 및 조건이 궁금합니다.",'생활안정자금 융자사업'의 융자 이자율과 상환 조건은?,5,5
"부동산 공부하다가 '근저당'이라는 단어를 봤는데, 계속적인 거래관계에서 발생하는 불특정 채권을 담보하는 저당권이라고 사전에는 나오는데 쉽게 풀어서 설명 부탁드립니다.",부동산 용어 '근저당'의 정확한 의미와 위험성이 궁금합니다.,1,2
"제가 지금 무주택자이고 소득이 월 200 정도인데, 청년월세 지원사업(월 최대 20만원씩 지원) 신청할 수 있을까요? 정확한 소득 및 자산 기준이 헷갈리네요.",'청년월세 지원사업' 신청 자격 요건을 상세히 알고 싶습니다.,2,3
구축 아파트라 주차 공간이 걱정입니다. 청주지웰시티푸르지오는 저녁 늦게 퇴근해도 주차할 자리가 충분한지 입주민 분들의 솔직한 답변 부탁드려요.,복대동 청주지웰시티푸르지오 주차 공간 부족 문제가 심각한가요?,2,4
"'건폐율'은 대지면적에 대한 건축면적의 비율이라고 하는데, '용적률'과의 차이점을 쉽게 설명해주시고, 이것이 아파트 가치에 미치는 영향은 무엇인가요?",'건폐율'과 '용적률'의 차이점을 모르겠습니다.,2,5
"이자율 최대 4.5% 혜택 때문에 전환하려는데, 상시 접수인지 아니면 공고 기간이 따로 정해져 있는지 알고 싶습니다.",'청년주택드림청약통장' 상시 접수인가요? 다음 공고 일정은 언제쯤일까요?,2,6
가로수마을호반베르디움 84.9267㎡ 평형 관리비가 평균적으로 얼마나 나오는지 궁금합니다. 특히 여름/겨울 난방비 차이가 큰가요?,가경동 가로수마을호반베르디움 관리비 얼마나 나오나요? (84.9267㎡ 기준),2,1
"부린이입니다. '가압류' 개념이 잘 안 잡히네요. 장래의 강제집행을 보전하기 위해 채무자의 재산을 확보하는 명령이라는데, 매매 계약 시 주의할 점을 예시로 들어주시면 감사하겠습니다.",초보 질문) '가압류' 쉽게 설명해주실 분,4,2
"기초청년 주거급여 신청하려는데 필요한 서류가 많아서 걱정입니다. 필수 서류 목록과 함께 발급 방법, 제출 시 주의사항을 정리해주실 분 계신가요?",'기초청년 주거급여' 신청 시 필요한 서류 준비 목록을 알려주세요.,2,3
"테크노폴리스우미린 전세 들어가려는데 보증금이 42,800만원 정도면, 청년 버팀목이나 일반 전세 자금 대출이 얼마나 나올지 대략적인 한도를 알고 싶습니다.","송절동 테크노폴리스우미린 전세 대출 관련해서 문의드립니다. (보증금 42,800만원)",2,4
"쌍무계약에서 상대방이 이행할 때까지 자기 채무 이행을 거절할 권리라고 하는데, 매매 잔금일이나 전세 보증금 반환 시 이 권리를 어떻게 활용할 수 있나요?",'동시이행항변권'이 계약에 어떤 영향을 미치는지 궁금합니다.,6,5
"다른 주거 지원 사업(예: 디딤돌 대출)을 받고 있는데, 신혼·신생아 매입임대주택(시세 30~40%)도 같이 신청해서 혜택 받을 수 있는지 궁금합니다.",'신혼·신생아 매입임대주택'의 중복 혜택이 가능한가요?,2,6
"아이 학교 때문에 가경동으로 이사 고려중입니다. 청주가경아이파크3단지에서 배정받는 초등학교가 어디인지, 학군 분위기나 만족도는 어떤지 궁금합니다.",가경동 청주가경아이파크3단지 주변 학군 질문입니다. (105.64㎡),2,2
"등기부등본 을구에서 근저당을 확인했는데, 채권 최고액이 높을 경우 매매/전세 계약 시 어떤 위험이 있으며 어떻게 대처해야 하나요?",등기부등본 확인 시 '근저당' 관련해서 주의해야 할 사항이 있을까요?,2,7
"청년 주택드림 디딤돌 대출 경쟁률이 셀 것 같은데, 어떤 기준으로 선정되는지, 특별한 가산점이나 우선 순위가 있는지 알고 싶습니다.","'청년 주택드림 디딤돌 대출' 선정 기준 (소득, 자산, 우선순위)이 궁금합니다.",7,6
"실거래가 36,500만원 정도로 보고 있는데, 혹시 인근 부동산 중에 더 저렴하게 나온 오송호반베르디움 급매물이 있을까요? 저층도 괜찮습니다.","오송읍 오송호반베르디움 급매물 있나요? (매매가 36,500만원 내외)",2,7
"'맹지'는 도로에 접하지 않은 토지라고 하던데, 건축 허가가 불가능한 것으로 알고 있습니다. 맹지를 매입하는 경우 활용 방안이나 법적인 조언을 구합니다.",'맹지'를 매입했을 때의 장단점과 위험성은 무엇인가요?,4,5
든든전세주택(시중 시세의 90%)은 상시 접수인가요 아니면 기간이 정해져 있나요? 다음 공고 일정을 알 수 있을까요?,'든든전세주택' 언제까지 신청 가능한가요?,2,5
봉명베리굿2차 소형 평수(46.04㎡) 관리비가 평균적으로 얼마나 나오는지 궁금합니다.,봉명동 봉명베리굿2차 관리비 얼마나 나오나요? (46.04㎡ 기준),2,3
"아파트 단지 전체 대지 면적을 가구별로 나눈 면적이라고 하는데, 대지지분이 클수록 아파트 가치에 어떤 긍정적인 영향을 미치는지 설명 부탁드립니다.",'대지지분'의 의미와 아파트 재건축/리모델링 시 중요성,3,4
20대 미혼자녀에게 별도 주거급여를 지급받으려 합니다. 정확한 부모님 및 본인의 소득 기준을 알고 싶습니다.,'미혼청년 주거급여 분리지급' 신청 자격 문의 (소득 기준),5,5
"두산위브지웰시티2차 전세 (68,500만원) 들어가려는데, 보증금이 커서 전세자금 대출 한도가 충분히 나올지 걱정입니다.","복대동 두산위브지웰시티2차 전세 대출 관련해서 문의드립니다. (보증금 68,500만원)",1,6
"재조달원가에서 감가액을 공제하여 가격을 적정화하는 작업이라고 하는데, 건물의 내용년수가 감가수정에 어떤 영향을 미치는지 궁금합니다.",'감가수정'이 부동산 감정평가에 미치는 영향,6,1
"생활안정자금 융자사업 신청하려는데 필요한 서류 목록(의료비, 장례비 등)과 유의사항을 알려주세요.",'생활안정자금 융자사업' 서류 준비 도와주세요.,7,2
비하동 서청주파크자이 근처 초등학교와 중학교 배정 현황 및 학군 분위기가 궁금합니다.,비하동 서청주파크자이 주변 학군 질문입니다. (74.3861㎡),1,3
"시가로 매도할 것을 청구할 수 있는 권리라고 하는데, 주로 재개발/재건축이나 리모델링 상황에서 어떻게 적용되는지 알고 싶습니다.","'매도청구권'이란 무엇이며, 언제 행사할 수 있나요?",1,4
"사회초년생, 대학생, 신혼부부를 대상으로 한다는데, 신혼부부의 소득 기준 및 결혼 기간 등의 상세 자격 요건이 궁금합니다.",'공공임대주택 공급' 신청 자격 요건 중 신혼부부 기준은?,21,5
강서베리굿3차 소형 아파트 관리비가 평균적으로 얼마나 나오는지 궁금합니다.,강서동 강서베리굿3차 관리비 얼마나 나오나요? (47.66㎡ 기준),37,6
